Stage,Module,Node_ID,Node_Name,Weight_Shape,Sx,Sw,Sy,Sw_x_Sx_div_Sy (M_float),M_mult_dyn,M_shift_dyn,Rel_Err_Dyn_%,M_mult_16,M_shift_16,Rel_Err_16_%,Bias_Scale,DRAM1_Weight_Start,DRAM1_Weight_End,DRAM1_Bias_Start,DRAM1_Bias_End,DRAM2_OFM_Start,DRAM2_OFM_End
neck,module_9_sppf,114,/model.9/cv2/conv/Conv,"[256, 512, 1, 1]",6.63702056e-02,6.73154302e-03,7.89157162e-02,5.66140581e-03,47491,23,0.000661,371,16,0.006978,4.46773894e-04,981648,1112719,1112720,1112975,31436800,31539199
neck,module_10_c2psa,118,/model.10/cv1/conv/Conv,"[256, 256, 1, 1]",8.60652473e-02,1.15409095e-02,9.09165810e-02,1.09250834e-02,45823,22,0.000264,716,16,0.001919,9.93271226e-04,1112976,1178511,1178512,1178767,31846400,31948799
neck,module_10_c2psa,122,/model.10/m/m.0/attn/qkv/conv/Conv,"[256, 128, 1, 1]",4.97772262e-02,7.97167819e-03,8.79996668e-02,4.50919922e-03,37826,23,0.000252,296,16,0.164161,3.96808028e-04,1178770,1211537,1211538,1211793,32204800,32307199
neck,module_10_c2psa,128,/model.10/m/m.0/attn/pe/conv/Conv,"[128, 1, 3, 3]",8.79996668e-02,1.56500340e-02,6.82246441e-02,2.01862214e-02,42334,21,0.001005,1323,16,0.005729,1.37719777e-03,1211806,1212957,1212958,1213085,32537600,32588799
neck,module_10_c2psa,135,/model.10/m/m.0/attn/proj/conv/Conv,"[128, 128, 1, 1]",3.66134568e-02,6.06920822e-03,3.12866564e-02,7.10253888e-03,59580,23,0.000696,465,16,0.101400,2.22214693e-04,1213090,1229473,1229474,1229601,33702400,33753599
neck,module_10_c2psa,137,/model.10/m/m.0/ffn/ffn.0/conv/Conv,"[256, 128, 1, 1]",5.90433061e-02,3.31710502e-03,6.05509150e-02,3.23451507e-03,54266,24,0.000291,212,16,0.010766,1.95852847e-04,1229602,1262369,1262370,1262625,33804800,33907199
neck,module_10_c2psa,140,/model.10/m/m.0/ffn/ffn.1/conv/Conv,"[128, 256, 1, 1]",2.06699428e-02,2.35469604e-02,3.86712307e-02,1.25859538e-02,52789,22,0.000599,825,16,0.020238,4.86714324e-04,1262626,1295393,1295394,1295521,34112000,34163199
neck,module_10_c2psa,143,/model.10/cv2/conv/Conv,"[256, 256, 1, 1]",7.75934355e-02,3.92451366e-03,6.82898244e-02,4.45917822e-03,37406,23,0.000797,292,16,0.080997,3.04516497e-04,1295522,1361057,1361058,1361313,34316800,34419199
neck,module_13_c3k2,148,/model.13/cv1/conv/Conv,"[128, 384, 1, 1]",4.39202241e-02,1.16259169e-02,5.89980741e-02,8.65473806e-03,36301,22,0.001095,567,16,0.034717,5.10612877e-04,1361318,1410469,1410470,1410597,35648000,35852799
neck,module_13_c3k2,152,/model.13/m.0/cv1/conv/Conv,"[32, 64, 1, 1]",3.58175818e-02,4.92566355e-03,2.87791763e-02,6.13031296e-03,51425,23,0.000404,402,16,0.060686,1.76425357e-04,1410600,1412647,1412648,1412679,36364800,36415999
neck,module_13_c3k2,153,/model.13/m.0/cv2/conv/Conv,"[32, 64, 1, 1]",3.58175818e-02,1.05504126e-02,7.29526610e-02,5.17993808e-03,43452,23,0.001082,339,16,0.139164,3.77890267e-04,1412680,1414727,1414728,1414759,36416000,36467199
neck,module_13_c3k2,158,/model.13/m.0/m/m.0/cv1/conv/Conv,"[32, 32, 3, 3]",1.82038273e-02,7.26018224e-03,4.48421043e-02,2.94729933e-03,49447,24,0.000966,193,16,0.079837,1.32163104e-04,1414760,1423975,1423976,1424007,36672000,36723199
neck,module_13_c3k2,161,/model.13/m.0/m/m.0/cv2/conv/Conv,"[32, 32, 3, 3]",4.38091135e-02,6.21393581e-03,5.83518847e-02,4.66526524e-03,39135,23,0.000208,306,16,0.084115,2.72227019e-04,1424008,1433223,1433224,1433255,36825600,36876799
neck,module_13_c3k2,165,/model.13/m.0/m/m.1/cv1/conv/Conv,"[32, 32, 3, 3]",5.07223700e-02,2.35766829e-03,5.69840041e-02,2.09859812e-03,35209,24,0.001040,138,16,0.339025,1.19586524e-04,1433256,1442471,1442472,1442503,37030400,37081599
neck,module_13_c3k2,168,/model.13/m.0/m/m.1/cv2/conv/Conv,"[32, 32, 3, 3]",2.78669718e-02,7.31678037e-03,6.42278927e-02,3.17457889e-03,53261,24,0.000759,208,16,0.023649,2.03896512e-04,1442504,1451719,1451720,1451751,37184000,37235199
neck,module_13_c3k2,173,/model.13/m.0/cv3/conv/Conv,"[64, 64, 1, 1]",7.96467413e-02,4.05301447e-03,5.66797444e-02,5.69532199e-03,47776,23,0.000369,373,16,0.066610,3.22809395e-04,1451752,1455847,1455848,1455911,37491200,37593599
neck,module_13_c3k2,177,/model.13/cv2/conv/Conv,"[128, 192, 1, 1]",4.66809761e-02,8.49943368e-03,6.83828489e-02,5.80206684e-03,48671,23,0.000543,380,16,0.064236,3.96761860e-04,1455912,1480487,1480488,1480615,38105600,38310399
neck,module_16_c3k2,182,/model.16/cv1/conv/Conv,"[64, 256, 1, 1]",4.76787372e-02,3.83009897e-03,4.68375439e-02,3.89888681e-03,65412,24,0.000713,256,16,0.188854,1.82614282e-04,1480620,1497003,1497004,1497067,41177600,41587199
neck,module_16_c3k2,186,/model.16/m.0/cv1/conv/Conv,"[16, 32, 1, 1]",2.98561862e-02,5.91613693e-03,1.77157789e-02,9.97039345e-03,41819,22,0.000332,653,16,0.064232,1.76633286e-04,1497070,1497581,1497582,1497597,42611200,42713599
neck,module_16_c3k2,187,/model.16/m.0/cv2/conv/Conv,"[16, 32, 1, 1]",2.98561862e-02,1.71388360e-02,6.34760519e-02,8.06131230e-03,33812,22,0.001200,528,16,0.057952,5.11700278e-04,1497598,1498109,1498110,1498125,42713600,42815999
neck,module_16_c3k2,192,/model.16/m.0/m/m.0/cv1/conv/Conv,"[16, 16, 3, 3]",1.24686346e-02,1.33923086e-02,3.78362626e-02,4.41332708e-03,37022,23,0.000889,289,16,0.080145,1.66983802e-04,1498126,1500429,1500430,1500445,43225600,43327999
neck,module_16_c3k2,195,/model.16/m.0/m/m.0/cv2/conv/Conv,"[16, 16, 3, 3]",3.75290105e-02,4.97392829e-03,4.37086886e-02,4.27069795e-03,35825,23,0.000589,280,16,0.041281,1.86666607e-04,1500446,1502749,1502750,1502765,43532800,43635199
neck,module_16_c3k2,199,/model.16/m.0/m/m.1/cv1/conv/Conv,"[16, 16, 3, 3]",4.28749032e-02,5.55551897e-03,4.60620077e-02,5.17112367e-03,43379,23,0.001085,339,16,0.031054,2.38192338e-04,1502766,1505069,1505070,1505085,43942400,44044799
neck,module_16_c3k2,202,/model.16/m.0/m/m.1/cv2/conv/Conv,"[16, 16, 3, 3]",3.32599925e-02,9.94749520e-03,9.28709826e-02,3.56250797e-03,59769,24,0.000057,233,16,0.202389,3.30853616e-04,1505086,1507389,1507390,1507405,44249600,44351999
neck,module_16_c3k2,207,/model.16/m.0/cv3/conv/Conv,"[32, 32, 1, 1]",9.93498329e-02,5.75994178e-03,6.38091245e-02,8.96814144e-03,37615,22,0.000296,588,16,0.044898,5.72249253e-04,1507406,1508429,1508430,1508461,44864000,45068799
neck,module_16_c3k2,211,/model.16/cv2/conv/Conv,"[64, 96, 1, 1]",4.58162676e-02,1.86480969e-02,1.07404754e-01,7.95482663e-03,33365,22,0.000116,521,16,0.062824,8.54386197e-04,1508462,1514605,1514606,1514669,46092800,46502399
